Disease,Description
Arthritis,Arthritis is inflammation of one or more joints  causing pain and stiffness.
Common Cold,Common Cold is a viral infection of the upper respiratory tract.
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
Eczema,Eczema is a chronic skin condition characterized by itchy  inflamed  and red skin patches.
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.
Heat Stroke,Heat Stroke is a severe heat-related illness caused by prolonged exposure to high temperatures  leading to body overheating.
Influenza,Influenza is a contagious respiratory illness caused by influenza viruses  leading to fever  cough  and fatigue.
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Sinusitis,Sinusitis is an inflammation of the sinuses  often causing nasal congestion headache and facial pain.
Stroke,Stroke is a sudden interruption of blood supply to the brain causing neurological deficits.
