Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Heart attack,call ambulance,chew or swallow asprin,keep calm,
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Eczema,moisturize skin,avoid irritants,use mild soaps,consult doctor
Heat Stroke,move to cool area,hydrate with water,apply cool compresses,seek medical help
Influenza,rest,stay hydrated,take antiviral medication,avoid contact with others
Sinusitis,use saline nasal spray,stay hydrated,apply warm compresses,consult doctor
Stroke,call emergency services,monitor symptoms,avoid physical exertion,seek immediate care
